페처 소비뇽 블랑 '에코 릿지',Fetzer Sauvignon Blanc ‘Echo Ridge’,화이트,13.5,8~10℃,None,1,None,None,1,
페처 메를로 '이글 피크',Fetzer Merlot ‘Eagle Peak’,레드,13.5,18~20℃,53000,None,None,None,None,
페처 진판델 '밸리 오크',Fetzer Zinfandel 'Valley Oaks',레드,13.5,18~20℃,53000,1,None,None,None,
로사다 비노 드 핀카 라 비엔까리다,Losada Vinos de Finca La Bienquerida,레드,None,None,180000,None,None,None,None,
로사다 비노 드 핀카 알토 데 로사다,Losada Vinos de Finca Alto de Losada,레드,None,None,90000,None,None,None,None,
로사다 비노 드 핀카 로사다,Losada Vinos de Finca Losada,레드,None,None,65000,None,None,None,None,
핀카 뮤세움 비네아 크리안자,Finca Museum Vinea Crianza,레드,None,16~18℃,45000,1,None,3,None,
핀카 뮤세움  뮤세움 리세르바,Finca Museum  Museum Reserva,레드,None,16~18℃,70000,1,2,5,4,
페처 샤르도네 '썬다이얼',Fetzer Chardonnay Sundial,화이트,13.5,8~10℃,None,1,None,None,1,
보데가스 랑아 까스틸로 드 아유드,Bodegas Langa Castillo de Ayud,레드,None,None,80000,None,None,None,None,
페처 까베르네 소비뇽 '밸리 오크',Fetzer Cabernet Sauvignon Valley Oaks,레드,13.5,18~20℃,53000,1,None,None,None,
꼬도르니유 비냐 뽀말 알토 데 라 까세타,Codorniu Vina Pomal Alto de la Casera,레드,None,None,500000,None,None,None,None,
꼬도르니유 비냐 뽀말 그랑 리제르바,Codorniu Vina Pomal Gran Reserva,레드,None,None,160000,None,None,None,None,
꽁트리 스푸만티 꽁떼 디 깜삐아노 아빠씨멘토 네그로마로 파시토,Contri Spumanti Conte di Campiano Appassimento Negromaro Passito,레드,None,None,None,None,None,None,None,
꽁트리 스푸만티 꽁떼 디 깜삐아노 프리미티보 디 만두리아,Contri Spumanti Conte di Campiano Primitivo di Manduria,레드,None,17~19℃,None,None,None,None,None,
꽁트리 스푸만티 꽁떼 디 깜삐아노 살리스 살렌티노,Contri Spumanti Conte di Campiano Salice Salentino,레드,None,None,None,None,None,None,None,
꽁트리 스푸만티 꽁떼 디 깜삐아노 브린디시 리제르바,Contri Spumanti Conte di Campiano Brindisi Riserva,레드,None,None,None,None,None,None,None,
페우도 솔라리아 쑬레리아,Feudo Solaria Sulleria,레드,None,None,119000,None,None,None,None,
산 실베스트로  둘시스 모스까또,San Sivestro Dulcis Moscato,화이트,None,6~8℃,31000,None,None,None,1,
데 스테파니 프로세코 수페리오레,De Stefani Prosecco Superiore,스파클링,None,None,65000,None,None,None,None,
군트럼 리슬링 아우스레제,Guntrum Riseling Auslese,화이트,9.5,6~8℃,None,3,None,3,1,
군트럼 리스링 슈페트레제,Guntrum Riseling Spatlese,화이트,9.5,8~10℃,None,3,3,2,1,
군트럼 리슬링 카비넷,Guntrum Riesling Kabinett,화이트,11.0,8~10℃,None,3,None,None,1,
군트럼 리슬링 로얄 블루,Guntrum Riesling Royal Blue,화이트,9.5,8~10℃,24000,3,None,3,1,
호메세라 로사도 까바,Jaume Serra Rosado Cava,스파클링,11.5,4~6℃,None,2,None,None,None,
미구엘 깔라타유드 베가발 플라타 까베르네 소비뇽,Miguel Calatayud Vegaval Plata Cabernet Sauvignon,레드,13.0,14~16℃,25000,None,None,None,None,
모나스테리오 끄리안자 ,Monasterio Crianza,레드,13.0,15~17℃,35000,None,None,None,None,
모나스테리오 마카베오,Monasterio Macabeo,화이트,None,8~10℃,None,3,None,2,1,
파우스티노 7세 블랑코,Faustino VII Blance,화이트,11.5,6~8℃,None,1,None,None,1,
파우스티노 7세 뗌프라닐요,Faustino VII Tempranillo,레드,13.0,16~18℃,43000,None,None,None,None,
파우스티노 끄리안자,Faustino Crianza,레드,13.5,16~18℃,50000,1,None,None,None,
파우스티노 5세 리제르바,Faustino V Reserva,레드,13.5,16~18℃,None,1,None,None,None,
파우스티노 1세 그랑 리제르바,Faustino I Grand Reserva,레드,13.5,16~18℃,None,1,None,None,None,
산안토니오 몬티가르비 발폴리첼라 수페리오레 리파소,Sant’ Antonio Valpolicella Superiore Monti Garbi Ripasso,레드,None,None,85000,None,None,None,None,
산안토니오 스까이아,San't Anotonio Scaia ,레드,13.0,14~16℃,45000,1,None,None,None,
테누타 산 안토니오 발폴리첼라,Tenuta Sant' Antonio Valpolicella,레드,13.0,14~16℃,None,1,None,None,None,
프린시페스코 피노 누아 베네치에,Principesco Pinot Noir Delle Venezie,레드,None,None,None,None,None,None,None,
까스텔라니 끼안티 클라시코 ,Castellani Chianti Classico ,레드,None,None,None,None,None,None,None,
구아달마레 모렐리노 디 스칸자노,Guadalmare Moerllino di Scansano ,레드,None,16~18℃,None,None,None,None,None,
까스텔라니 끼안티 ,Castellani Chianti ,레드,None,None,None,None,None,None,None,
까르피네토 파니토 까베르네 소비뇽 ,Carpineto Farnito Cabernet Sauvignon,레드,13.5,16~18℃,100000,1,3,5,5,
구아달마레 마레마 토스카나 ,Guadalmare Maremma Toscana ,레드,None,None,None,None,None,None,None,
산타 루치아 토스카나 비앙코,Santa Lucia Toscana Bianco ,화이트,None,8~10℃,None,1,None,2,1,
산타 루치아 토스카나 로쏘 ,Santa Lucia Toscana Rosso,레드,None,None,None,None,None,None,None,
펠시나 마에스트로 라로,Felsina Maestro Raro,레드,None,None,None,None,None,None,None,
펠시나 란치아 끼안티 클라시코 리제르바,Felsina Rancia Chianti Classico Riserva,레드,None,16~18℃,None,1,None,4,None,
루이 막스 샤블리 프르미에 크뤼,Louis Max Chablis 1er Cru,화이트,13.0,10~12℃,None,1,None,4,1,
샤또 라르젠떼르,Chateau L'Argenteyre,레드,None,16~18℃,70000,1,3,4,3,
샤또 라르자디에르,Chateau La Lezardiere,레드,None,16~18℃,None,1,3,3,3,
샤토 오 미람베,Chateau Haut Mirambet,레드,None,16~18℃,None,1,3,3,3,
샤토 라 크로아뒤 뒥,Chateau La Croix du Duc,레드,None,16~18℃,None,1,3,4,3,
루이 막스 부르고뉴 오 꼬뜨 드 뉘,Louis Max Hautes-Cotes de Nuits,레드,12.5,16℃,None,None,None,None,None,
