179,레이몬드  노스 코스트 까베르네 소비뇽,Raymond  North Coast Cabernet Sauvignon,레드,None,16~18℃,120000,1,2,4,3
180,레이몬드  R 컬렉션 필드 블렌드,Raymond  R Collection Field Blend ,레드,None,16~18℃,80000,1,2,4,3
181,도멘 뉘당  부르고뉴 피노 누아,Domaine Nudant  Bourgogne Pinot Noir,레드,12.5,15~17℃,None,1,3,3,2
182,도멘 레미 조바르  뫼르소 '수 라 벨',Domaine Remi Joard  Merusault 'Sous La Velle',화이트,13.0,11~13℃,None,1,3,4,1
183,아르노 엉뜨  퓔리니-몽라쉐 프르미에 크뤼 '샹 갱 블랑',Arnaud Ente  Puligny-Montrachet 1er Cru 'Champ Gain Blanc',화이트,None,10~12℃,1560000,1,4,3,1
184,아르노 엉뜨  뫼르소 끌로 데 장브르,Arnaud Ente  Meursault Clos des Ambres,화이트,None,10~12℃,1300000,1,4,3,1
185,아르노 엉뜨  볼네이 프르미에 크뤼 '상트로 뒤 밀리우',Arnaud Ente  Volnay 1er 'Santenots du Milieu',레드,None,16~18℃,650000,1,3,4,3
186,인허리트 더 쉽  까베르네 쇼비뇽,Inherit The Sheep  Cabernet Sauvignon,레드,14.3,16~18℃,250000,1,2,4,4
187,파소피시아로  파소 비앙코,Passopisciaro  Passo Bianco,화이트,13.5,10~12℃,140000,1,3,3,1
188,테누타 디 티리노로  캄포 디 카마지,Tenuta di Trinoro  Campo di Camagi,레드,None,16~18℃,350000,1,3,5,4
189,테누타 디 트리노로  캄포 디  테날리아,Tenuta di Trinoro  Campo di Tenaglia,레드,14.5,16~18℃,350000,1,3,5,4
190,스피링필드  피노 누아,Springfield  Pinot Noir,레드,None,15~17℃,None,1,2,3,2
191,스피링필드  미스 루씨,Springfield  Miss Lucy ,화이트,12.5,9~11℃,48000,1,3,3,1
192,스프링필드  워크 오브 타임,Springfield  Work of Time,레드,None,16~18℃,None,1,3,4,3
193,스프링필드  와일드 이스트 샤도네이,Springfield  Wild Yeast Chardonnay ,화이트,None,10~12℃,None,None,None,None,None
194,스프링필드  홀 베리 카베르네 소비뇽,Springfield  Whole Berry Cabernet Sauvignon,레드,None,16~18℃,None,1,3,4,3
195,스프링필드  라이프 프롬 스톤 소비뇽 블랑,Springfield  Life from Stone Sauvignon Blanc,화이트,None,8~10℃,None,1,3,2,1
196,크리에이션  시라-그르나슈,Creation  Syrah-Grenache,레드,14.5,16~18℃,None,1,2,5,3
197,크리에이션  피노 누아,Creation  Pinot Noir,레드,13.8,15~17℃,None,1,3,3,2
198,크리에이션 소비뇽 블랑,Creation Sauvignon Blanc ,화이트,14.0,8~10℃,None,1,3,2,1
199,크리에이션 비오니에,Creation  Viognier,화이트,14.0,9~11℃,None,1,3,2,1
200,크리에이션  샤도네이,Creation  Chardoanny,화이트,14.0,10~12℃,None,1,3,3,1
201,뷰샤르 핀레이슨  한니발,Bouchard Finlayson  Hannibal,레드,None,16~18℃,None,1,3,3,3
202,뷰샤르 핀레이슨  갈핀 피크 피노 누아,Bouchard Finlayson  Galpin Peak Pinot Noir,레드,None,15~17℃,None,1,3,3,2
203,뷰샤르 핀레이슨  크로커다일즈 레어 카이만스가 샤도네이,Bouchard Finlayson  Crocodile’s Lair Kaaimansgat Chardonnay,화이트,None,10~12℃,None,1,3,4,1
204,가디언 피크  써밋 SMG,Guardian Peak  Summit SMG,레드,None,17~19℃,None,1,3,4,4
205,가디언 피크  라파 카베르네 소비뇽,Guardian Peak  Lapa Cabernet Sauvignon ,레드,None,16~18℃,None,1,3,4,4
206,가디언 피크  쉬라즈,Guardian Peak  Shiraz,레드,None,16~18℃,None,1,3,4,3
207,가디언 피크  프론티어 카베르네 소비뇽,Guardian Peak  Frontier Cabernet Sauvignon ,레드,None,16~18℃,None,1,3,3,3
208,GS 카베르네 소비뇽,GS Cabernet Sauvignon,레드,15~15.5,16~18℃,None,1,3,4,5
209,데이비드 핀레이슨 카미노 아프리카나 슈냉 블랑,David Finlayson Camino Africana Chenin Blanc,화이트,13~13.5,10~12℃,None,1,3,3,1
210,러스트엔 브레데  쉬라,Rust en Vrede  Syrah,레드,None,16~18℃,None,None,3,4,3
211,러스트 엔 브레데  카베르네 소비뇽,Rust en Vrede  Cabernet Sauvignon,레드,None,16~18℃,None,1,3,4,4
212,러스트 엔 브레데  에스테이트 레드,Rust en Vrede  Estate Red,레드,None,16~18℃,None,1,3,3,3
213,맥매니스 로제,Mcmanis Rose,로제,11.5,11~13℃,75000,1,2,2,1
214,쿼드런트 와인,Quadrant Wine,레드,12.8,16~18℃,75000,1,2,4,3
215,세르보 피스  까르떼 누아,Serveaux Fils  Carte Noir,스파클링,None,6~8℃,129000,1,3,3,1
216,세르보 피스  로제 드 쎄니에,Serveaux Fils  Rose de Saignee,스파클링,None,6~8℃,149000,1,3,4,1
217,소리 디 귈 프레이자 다스티 수페리오레,Sori di Giul Freisa d'Asti Superiore,레드,None,16~18℃,125000,1,3,4,4
218,비냐리나 바르베라 다스티 수페리오레,Vignalina Barbera d’Asti Superiore,레드,None,16~18℃,73000,1,4,3,3
219,알란디노 그리뇰리노 다스티,Arlandino Grignolino d'Asti ,레드,None,None,57000,3,2,3,None
220, 조엘 고트 워싱턴 레드,Joel Gott Washington Red,레드,13.8,15~17℃,76000,1,2,4,4
221,포춘 1621 까베르네 쇼비뇽,Fortune 1621 Cabernet Sauvignon,레드,14.5,16~18℃,160000,1,2,5,4
222,그랜트 버지  gb56 쉬라즈,Grant Burge  gb56 Shiraz,레드,14.0,16~18℃,None,1,3,3,3
223,하디스  노타지 힐 쉬라즈,Hardys  Nottage Hills Shiraz,레드,14.0,16~18℃,None,1,3,4,3
